,bumps,bumps,dfo,minuit,minuit,scipy_ls
,lm-bumps,scipy-leastsq,dfogn,migrad,simplex,lm-scipy: j:scipy 2-point
PALMER6C,2792 (85.47)<br>0.4131 (25.41),2817 (86.23)<br>0.1118 (6.874),32.66 (1)<br>0.8287 (50.96)[1],2730 (83.58)<br>0.02847 (1.751),2.189e+04 (670.1)<br>0.01626 (1)[2],33.81 (1.035)<br>0.172 (10.58)[1]
PALMER7C,8.603e+05 (2.529e+04)<br>0.3934 (24.8),7.475e+05 (2.197e+04)<br>0.1111 (6.999),34.02 (1)<br>0.7287 (45.92)[1],1822 (53.55)<br>0.0319 (2.011),7.458e+04 (2192)<br>0.01587 (1),40.45 (1.189)<br>0.1607 (10.13)[1]
PALMER8C,2.191e+06 (1.394e+06)<br>0.3975 (25.69),2.18e+06 (1.387e+06)<br>0.1096 (7.083),35.69 (22.7)<br>0.7347 (47.48)[1],5241 (3334)<br>0.03229 (2.087),2.162e+04 (1.375e+04)<br>0.01547 (1),1.572 (1)<br>0.183 (11.83)[1]
VESUVIOLS,15.87 (1)<br>0.01782 (3.548),15.87 (1)<br>0.006232 (1.24),20.01 (1.261)<br>1.568 (312.2),15.87 (1)<br>0.01458 (2.902),17.85 (1.125)<br>0.005024 (1),15.87 (1)<br>0.007361 (1.465)
YFITU,7.158e-14 (2.116)<br>0.01 (7.291),3.383e-14 (1)<br>0.002976 (2.169),14.3 (4.226e+14)<br>0.7115 (518.5)[1],268.6 (7.938e+15)<br>0.001372 (1),112 (3.309e+15)<br>0.003066 (2.234),3.383e-14 (1)<br>0.001951 (1.422)
